E,E_ana,L,L_ana,N,N_ana,a_final,a_final_ana,a_initial,a_initial_ana,conservation,conservation_ana,deltaz,deltaz_ana,dt,iterations,method,program_time,skewness,skewness_ana,stdev,stdev_ana,time_ana
150.0,150.0,250.0,250.0,1024.0,1024.0,0.9999999999999686,0.9999999999999998,1.0,1.0,99.99999999999686,99.99999999999997,5.0,5.0,5e-17,385.0,cn,1.4728233814239502,-0.010065006637819859,4.209214165762706e-14,5.352760088383084,5.040661260894439,2.1789343749997394e-14
150.0,150.0,250.0,250.0,1024.0,1024.0,1.0000000000001101,0.9999999999999999,1.0,1.0,100.00000000001101,99.99999999999999,5.0,5.0,1e-16,743.0,cn,2.66310977935791,-0.01035403059450549,0.0,5.375567717787393,5.040495738057399,2.1744769531247402e-14
150.0,150.0,250.0,250.0,1024.0,1024.0,1.0000000000025693,0.9999999999999999,1.0,1.0,100.00000000025693,99.99999999999999,5.0,5.0,5e-16,3674.0,cn,10.25090742111206,-0.010420176704601778,3.3677169659933985e-14,5.383768790212055,5.040488811682456,2.1742902343747404e-14
150.0,150.0,250.0,250.0,2048.0,2048.0,1.0000000000001026,1.0000000000000002,1.0,1.0,100.00000000001026,100.00000000000003,5.0,5.0,1e-19,6087.0,cn,57.93269324302673,0.0011426585186364007,0.0,5.025672986798478,5.040487304766264,2.1742496093747403e-14
150.0,150.0,250.0,250.0,2048.0,2048.0,1.000000000000048,1.0000000000000002,1.0,1.0,100.0000000000048,100.00000000000003,5.0,5.0,5e-19,1221.0,cn,12.438853979110718,0.0012329481369336547,8.419248630231097e-15,5.0249946978001265,5.040497549444447,2.1745257812497403e-14
150.0,150.0,250.0,250.0,2048.0,2048.0,0.9999999999999339,1.0000000000000002,1.0,1.0,99.99999999999339,100.00000000000003,5.0,5.0,1e-18,616.0,cn,8.210317850112915,0.00150728855199967,2.5257515390064903e-14,5.0229464035509706,5.040512882627466,2.1749390624997407e-14
150.0,150.0,250.0,250.0,2048.0,2048.0,1.0000000000000009,1.0000000000000002,1.0,1.0,100.00000000000009,100.00000000000003,5.0,5.0,5e-18,158.0,cn,5.526554584503174,0.005699450205803298,8.4182198519715e-15,5.000227984721213,5.040702871676554,2.1800535156247386e-14
150.0,150.0,250.0,250.0,2048.0,2048.0,1.0000000000000118,1.0000000000000002,1.0,1.0,100.00000000000118,100.00000000000003,5.0,5.0,1e-17,133.0,cn,4.289908170700073,0.0017456834422518675,8.41773534855485e-15,5.064341103933448,5.040799579829348,2.1826523437497387e-14
150.0,150.0,250.0,250.0,2048.0,2048.0,1.0000000000001876,1.0000000000000002,1.0,1.0,100.00000000001876,100.00000000000003,5.0,5.0,5e-17,370.0,cn,5.716553688049316,-0.010638970371510056,-6.735209937853818e-14,5.328239029926804,5.040544688555168,2.1757960937497397e-14
150.0,150.0,250.0,250.0,2048.0,2048.0,0.9999999999998099,1.0000000000000002,1.0,1.0,99.99999999998099,100.00000000000003,5.0,5.0,1e-16,722.0,cn,9.401158571243286,-0.01095657047995947,4.2094118494876475e-14,5.349591277959218,5.040582352618659,2.1768105468747396e-14
