metodo,psi2,tempo,z
Solucao Analitica,7.89285681859625e-35,0.00e+00,-321.1895456765999
Solucao Analitica,3.877239546492694e-35,0.00e+00,-320.7743038593063
Solucao Analitica,3.9123390731242784e-35,0.00e+00,-320.3590620420127
Solucao Analitica,1.3668795248155412e-34,0.00e+00,-319.9438202247191
Solucao Analitica,3.7684351465321096e-35,0.00e+00,-319.5285784074255
Solucao Analitica,9.449284807481886e-35,0.00e+00,-319.11333659013195
Solucao Analitica,4.1296015531706696e-35,0.00e+00,-318.6980947728383
Solucao Analitica,4.0021580344267795e-35,0.00e+00,-318.2828529555447
Solucao Analitica,1.0129772947640481e-34,0.00e+00,-317.8676111382511
Solucao Analitica,3.3541177209637393e-35,0.00e+00,-317.45236932095753
Solucao Analitica,3.930534978282273e-35,0.00e+00,-317.0371275036639
Solucao Analitica,1.6496466629958323e-35,0.00e+00,-316.62188568637026
Solucao Analitica,2.9283346375062126e-35,0.00e+00,-316.20664386907674
Solucao Analitica,2.1018593513655413e-34,0.00e+00,-315.7914020517831
Solucao Analitica,9.373976135438816e-35,0.00e+00,-315.37616023448953
Solucao Analitica,1.2995484695988539e-34,0.00e+00,-314.9609184171959
Solucao Analitica,4.057483882470837e-34,0.00e+00,-314.5456765999023
Solucao Analitica,2.176383190718909e-35,0.00e+00,-314.1304347826087
Solucao Analitica,7.99842087350901e-35,0.00e+00,-313.7151929653151
Solucao Analitica,8.248906229765974e-35,0.00e+00,-313.2999511480215
Solucao Analitica,3.2714899842609237e-35,0.00e+00,-312.8847093307279
Solucao Analitica,2.0951846761007717e-35,0.00e+00,-312.4694675134343
Solucao Analitica,6.85804564975696e-36,0.00e+00,-312.0542256961407
Solucao Analitica,3.8659561768667114e-35,0.00e+00,-311.6389838788471
Solucao Analitica,8.071918402387857e-35,0.00e+00,-311.22374206155354
Solucao Analitica,5.871363089222436e-35,0.00e+00,-310.8085002442599
Solucao Analitica,9.6862430694688e-35,0.00e+00,-310.39325842696627
Solucao Analitica,5.21277880248226e-35,0.00e+00,-309.9780166096727
Solucao Analitica,1.5551015543946474e-35,0.00e+00,-309.5627747923791
Solucao Analitica,3.1628904352325753e-35,0.00e+00,-309.1475329750855
Solucao Analitica,1.3823492998109379e-35,0.00e+00,-308.73229115779185
Solucao Analitica,4.988108373922671e-35,0.00e+00,-308.31704934049833
Solucao Analitica,3.0594441386331297e-36,0.00e+00,-307.90180752320475
Solucao Analitica,2.9753358316150655e-35,0.00e+00,-307.4865657059111
Solucao Analitica,5.903250108644876e-35,0.00e+00,-307.0713238886175
Solucao Analitica,2.950415676926605e-35,0.00e+00,-306.6560820713239
Solucao Analitica,5.406256140561511e-35,0.00e+00,-306.2408402540303
Solucao Analitica,7.485753608720104e-35,0.00e+00,-305.8255984367367
Solucao Analitica,6.90308012701757e-35,0.00e+00,-305.41035661944306
Solucao Analitica,1.6605363288356699e-35,0.00e+00,-304.99511480214954
Solucao Analitica,1.4716755389678298e-35,0.00e+00,-304.5798729848559
Solucao Analitica,3.6765124826796706e-35,0.00e+00,-304.16463116756233
Solucao Analitica,9.665322485361952e-35,0.00e+00,-303.7493893502687
Solucao Analitica,2.85401637344281e-35,0.00e+00,-303.3341475329751
Solucao Analitica,8.751003057428868e-36,0.00e+00,-302.9189057156815
Solucao Analitica,1.159731531341394e-35,0.00e+00,-302.50366389838786
Solucao Analitica,5.783075230231933e-35,0.00e+00,-302.0884220810943
Solucao Analitica,7.485317827728831e-35,0.00e+00,-301.6731802638007
Solucao Analitica,2.0806906301094107e-35,0.00e+00,-301.25793844650707
Solucao Analitica,3.549618721688201e-35,0.00e+00,-300.8426966292135
Solucao Analitica,6.919895415901815e-35,0.00e+00,-300.4274548119199
Solucao Analitica,3.3704736050416175e-36,0.00e+00,-300.01221299462634
Solucao Analitica,1.4115654406041486e-34,0.00e+00,-299.5969711773327
Solucao Analitica,6.835165316504676e-35,0.00e+00,-299.18172936003907
Solucao Analitica,2.05705394657395e-35,0.00e+00,-298.7664875427455
Solucao Analitica,6.254385301239239e-36,0.00e+00,-298.35124572545186
Solucao Analitica,3.286862991187563e-35,0.00e+00,-297.9360039081583
Solucao Analitica,3.0237999789722525e-35,0.00e+00,-297.52076209086465
Solucao Analitica,7.633734430249365e-35,0.00e+00,-297.10552027357113
Solucao Analitica,1.6056952730612966e-34,0.00e+00,-296.6902784562775
Solucao Analitica,1.0779774354294089e-34,0.00e+00,-296.2750366389839
Solucao Analitica,9.401230965410991e-36,0.00e+00,-295.8597948216903
Solucao Analitica,1.8833118168313344e-35,0.00e+00,-295.4445530043967
Solucao Analitica,1.3710964829692528e-35,0.00e+00,-295.0293111871031
Solucao Analitica,2.5946336158585725e-37,0.00e+00,-294.6140693698095
Solucao Analitica,2.3567366280467428e-35,0.00e+00,-294.19882755251587
Solucao Analitica,4.015014048280242e-35,0.00e+00,-293.7835857352223
Solucao Analitica,4.512988351568689e-35,0.00e+00,-293.3683439179287
Solucao Analitica,1.5704319759757585e-35,0.00e+00,-292.9531021006351
Solucao Analitica,1.2256106581633064e-34,0.00e+00,-292.5378602833415
Solucao Analitica,3.196456810812622e-35,0.00e+00,-292.1226184660479
Solucao Analitica,3.4715100841487604e-35,0.00e+00,-291.7073766487543
Solucao Analitica,7.493852706508904e-36,0.00e+00,-291.29213483146066
Solucao Analitica,1.695383591478155e-35,0.00e+00,-290.8768930141671
Solucao Analitica,2.7950808196033586e-36,0.00e+00,-290.4616511968735
Solucao Analitica,6.952186140439165e-36,0.00e+00,-290.04640937957987
Solucao Analitica,1.2016343333658573e-34,0.00e+00,-289.63116756228624
Solucao Analitica,1.2363777414099344e-34,0.00e+00,-289.2159257449927
Solucao Analitica,7.013445796363536e-35,0.00e+00,-288.80068392769914
Solucao Analitica,2.9472705892653468e-34,0.00e+00,-288.3854421104055
Solucao Analitica,1.0084402170573076e-34,0.00e+00,-287.9702002931119
Solucao Analitica,1.590504275368612e-35,0.00e+00,-287.5549584758183
Solucao Analitica,1.0613835330170335e-35,0.00e+00,-287.13971665852466
Solucao Analitica,7.868080576271604e-35,0.00e+00,-286.72447484123103
Solucao Analitica,5.903519925765281e-36,0.00e+00,-286.30923302393745
Solucao Analitica,1.389745016632575e-34,0.00e+00,-285.8939912066439
Solucao Analitica,1.2045514828202537e-34,0.00e+00,-285.4787493893503
Solucao Analitica,1.2587379673634716e-35,0.00e+00,-285.06350757205666
Solucao Analitica,4.864800092207472e-35,0.00e+00,-284.6482657547631
Solucao Analitica,2.960641111567124e-35,0.00e+00,-284.2330239374695
Solucao Analitica,1.3886152326812143e-34,0.00e+00,-283.8177821201759
Solucao Analitica,1.7961568570631066e-36,0.00e+00,-283.40254030288224
Solucao Analitica,2.7948227866095507e-35,0.00e+00,-282.98729848558867
Solucao Analitica,4.161523487053536e-35,0.00e+00,-282.5720566682951
Solucao Analitica,1.5043827314970043e-35,0.00e+00,-282.15681485100146
Solucao Analitica,1.8598392661812867e-35,0.00e+00,-281.7415730337079
Solucao Analitica,1.7786162523827247e-36,0.00e+00,-281.3263312164143
Solucao Analitica,6.129127724221148e-35,0.00e+00,-280.9110893991207
Solucao Analitica,1.883425755390423e-35,0.00e+00,-280.4958475818271
Solucao Analitica,3.468396986996777e-35,0.00e+00,-280.08060576453346
Solucao Analitica,2.677481232164776e-35,0.00e+00,-279.6653639472399
Solucao Analitica,1.8816807613036417e-34,0.00e+00,-279.2501221299463
Solucao Analitica,2.8657732600677435e-35,0.00e+00,-278.8348803126527
Solucao Analitica,9.192925888938247e-36,0.00e+00,-278.41963849535904
Solucao Analitica,1.3319505836316727e-35,0.00e+00,-278.0043966780655
Solucao Analitica,3.356437091979291e-35,0.00e+00,-277.5891548607719
Solucao Analitica,4.360904972212059e-35,0.00e+00,-277.17391304347825
Solucao Analitica,7.675220454433944e-35,0.00e+00,-276.7586712261847
Solucao Analitica,2.5735909653128484e-35,0.00e+00,-276.3434294088911
Solucao Analitica,2.809128087436238e-35,0.00e+00,-275.92818759159746
Solucao Analitica,3.0735483363394964e-36,0.00e+00,-275.51294577430383
Solucao Analitica,1.2497483585075586e-35,0.00e+00,-275.09770395701025
Solucao Analitica,8.769018571688492e-35,0.00e+00,-274.6824621397167
Solucao Analitica,5.298629569348985e-35,0.00e+00,-274.2672203224231
Solucao Analitica,8.97804171440291e-36,0.00e+00,-273.85197850512947
Solucao Analitica,4.608186601655641e-36,0.00e+00,-273.4367366878359
Solucao Analitica,2.4223272946021133e-35,0.00e+00,-273.0214948705423
Solucao Analitica,8.80709656865626e-35,0.00e+00,-272.6062530532487
Solucao Analitica,3.995215226866642e-35,0.00e+00,-272.19101123595505
Solucao Analitica,6.16033199053066e-35,0.00e+00,-271.77576941866147
Solucao Analitica,6.24200624471952e-35,0.00e+00,-271.3605276013679
Solucao Analitica,4.1551058493306794e-37,0.00e+00,-270.94528578407426
Solucao Analitica,4.4575177361497505e-35,0.00e+00,-270.5300439667807
Solucao Analitica,1.2481337368031623e-34,0.00e+00,-270.1148021494871
Solucao Analitica,2.6978208459353804e-35,0.00e+00,-269.69956033219347
Solucao Analitica,3.9537132034534326e-36,0.00e+00,-269.28431851489984
